id,Record,Title,Cover Image Link,Author,Publisher,Date,Price,Pages,Binding,Tag,Publication Type,Note
0,310718,"All-Story Weekly, July 27, 1918",https://isfdb.org/wiki/images/5/5a/LLSTRMGZNL1918.jpg,Robert H. Davis,The Frank A. Munsey Company,1918-07-27,$0.10,192,pulp,LLSTRMGZNL1918,MAGAZINE,"v86 #4
peculative fiction content only.<br>
Data from the <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and FictionMags."
1,310719,"All-Story Weekly, August 3, 1918",https://isfdb.org/wiki/images/5/53/LLSTRMGZNP1918.jpg,Robert H. Davis,The Frank A. Munsey Company,1918-08-03,$0.10,192,pulp,LLSTRMGZNP1918,MAGAZINE,"v87 #1
Speculative fiction content only.
Data from the <i>Index to Fantasy & Science Fiction in Munsey Publications</i> and FictionMags."
2,299205,"All-Story Weekly, August 10, 1918",https://isfdb.org/wiki/images/a/ac/LLSTRGSTFK1918.jpg,Robert H. Davis,The Frank A. Munsey Company,1918-08-10,$0.10,192,pulp,LLSTRGSTFK1918,MAGAZINE,"v87 #2
Speculative fiction content only. Data from Bleiler's ""Science-Fiction: The Early Years"" and <i>Index to Fantasy & Science Fiction in Munsey Publications</i>."
3,63964,The Nightmare and Other Tales of Dark Fantasy,https://m.media-amazon.com/images/P/0803292988.jpg,Francis Stevens,Bison Books,2004-00-00,$19.95,xxv+404,tp,THNGHTMRND2004,COLLECTION,Cover Design by R. W. Boeche.
4,292137,"The Thrill Book, August 15, 1919",https://www.isfdb.org/wiki/images/9/96/THTHRLLBKB1919.jpg,Ronald Oliphant,"Street & Smith Publications, Inc.",1919-08-15,$0.15,164,pulp,THTHRLLBKB1919,MAGAZINE,"Vol. II No. 4.
Cover illustrates ""The Heads of Cerberus"" by Francis Stevens.
Speculative fiction content only. Data from the Bleilers' ""Science-Fiction: The Early Years"" and Richard Bleiler's ""The Annotated Index to The Thrill Book"".
Richard Bleiler qualifies the Riesenberg credit with a ""?"".
Nongenre fiction titles include:
""A Dangerous Girl"" by Charlotte Mish is a three-line ""love"" story.
""The Conquerer"" by Tod Robbins is the story of a composer who creates one last work and then commits suicide.
""The Terror of the Rats"" (Part 1 of 2) by Wyndham Martyn writing as Croydon Heath is a thriller taking place mostly in China.
""Very Short Story"" by Charlotte Mish is a vignette about a man who commits suicide rather than go to war.
""The Opium Ship"" (Part 3 of 4) by H. Bedford-Jones is a sea thriller.
Nongenre poems include:
""Simple Flowers"" by Charles Kiproy (possibly a pseudonym of Harold Hersey).
""The Heart's Horizon"" by Philip Kennedy (possibly a pseudonym of Harold Hersey)."
5,292138,"The Thrill Book, September 1, 1919",http://www.philsp.com/data/images/t/thrill_book_19190901.jpg,Ronald Oliphant,"Street & Smith Publications, Inc.",1919-09-01,$0.15,164,pulp,THTHRLLBKS1919,MAGAZINE,"Vol. II No. 5.
Speculative fiction content only. Data from the Bleilers' ""Science-Fiction: The Early Years"" and Richard Bleiler's ""The Annotated Index to The Thrill Book"".
Lillian Beynon Thomas incorrectly credited as Lillian Benyon Thomas in the story credit but correctly credited in the table of contents.
Nongenre fiction titles include:
""The Pick Up"" by Charlotte Mish is a vignette about a man and a dog.
""Cobra Girl"" by Rothvin Wallace is an exotic murder mystery.
""He Got Away with It"" by E. B. Whiting is an ironic vignette.
""Unexpected"" by Junius B. Smith is a crime story.
""A Mystery Downstairs"" by is a crime story.
""The Terror of the Rats"" (Part 2 of 2) by Wyndham Martyn writing as Croyden Heath is a thriller taking place mostly in China. The first part of the story was credited to Croydon Heath.
""The Kiss of the Silver Flask"" by Evangeline Weir is a crime story.
""Green Eye"" by Augustin Lardy is an attempted murder story.
Nongenre poems include:
""Life's Last Song"" by Arnold Tyson (possibly a pseudonym of Harold Hersey).
""Gifts"" by Roy le Moyne (possibly a pseudonym of Harold Hersey).
""Out of the Night"" by Philip Kennedy (possibly a pseudonym of Harold Hersey)."
6,292139,"The Thrill Book, September 15, 1919",http://www.philsp.com/data/images/t/thrill_book_19190915.jpg,Ronald Oliphant,"Street & Smith Publications, Inc.",1919-09-15,$0.15,164,pulp,THTHRLLBKD1919,MAGAZINE,"Vol. II No. 6.
Cover illustrates ""The Gift Wife"" by Rupert Hughes.
Speculative fiction content only. Data from the Bleilers' ""Science-Fiction: The Early Years"" and Richard Bleiler's ""The Annotated Index to The Thrill Book"".
""The Red Lure"" by Frank L. Packard is a marginal genre story with minor lost race elements.
Nongenre fiction titles include:
""The Temple"" by Alphonse de la Ferte is a vignette who believes she is praying in a temple but is actually in a House of Love.
""The Gift Wife"" (Part 1 of 4) by Rupert Hughes is Middle Eastern adventure story.
""The Case of the Man Blind"" by T. E. Transeau is a crime story.
""Filbert's Grand Final"" by is the story of an obsessive baseball fan.
Nongenre poems include:
""The Temple"" by Alphonse de la Ferte (possibly a pseudonym of Harold Hersey or Ronald Oliphant).
""To Spend with Ease"" by Charles Kiproy (possibly a pseudonym of Harold Hersey)."
7,292140,"The Thrill Book, October 1, 1919",https://www.isfdb.org/wiki/images/1/13/THTHRLLBKF1919.jpg,Ronald Oliphant,"Street & Smith Publications, Inc.",1919-10-01,$0.15,164,pulp,THTHRLLBKF1919,MAGAZINE,"Vol. III No. 1.
Cover illustrates ""Mr. Shen of Shensi"" by H. Bedford-Jones.
Speculative fiction content only. Data from the Bleilers' ""Science-Fiction: The Early Years"" and Richard Bleiler's ""The Annotated Index to The Thrill Book"".
Richard Bleiler qualifies the Riesenberg credit with a ""?"".
Nongenre fiction titles include:
""A Step and a Half"" by Harry Golden is a crime story.
""The Gift Wife"" (Part 2 of 4) by Rupert Hughes is Middle Eastern adventure story.
""The Mouse and the Cheese"" by Will H. Greenfield is a crime story.
""Words That Came Alive"" by Mary Caroline Davies is about a man who is so inspired by his patriotic poetry that he joins the service.
""The Escape"" by Mordaunt Hall is a revenge story.
Nongenre poems include:
""One Like Yourself"" by Alphonse de la Ferte (possibly a pseudonym of Harold Hersey or Ronald Oliphant)."
8,291184,"The Thrill Book, October 15, 1919",http://www.philsp.com/data/images/t/thrill_book_19191015.jpg,Ronald Oliphant,"Street & Smith Publications, Inc.",1919-10-15,$0.15,164,pulp,THTHRLLBKC1919,MAGAZINE,"Vol. III No. 2.
Cover illustrates ""Juju"" by Murray Leinster.
Speculative fiction content only. Data from the Bleilers' ""Science-Fiction: The Early Years"" and Richard Bleiler's ""The Annotated Index to The Thrill Book"".
""Juju"" is a marginal genre story that includes witch doctors and a gorilla.
Nongenre fiction titles include:
""The Gift Wife"" (Part 3 of 4) by Rupert Hughes is Middle Eastern adventure story.
""Like Princess"" by Eugene A. Clancy is the story of a scam artist.
""Figure Nine"" by Horatio Winslow involves an attempted murder.
""Hands Invisible"" by William H. Kofoed is a South American crime story.
Nongenre poems include:
""A Ballade of Morgan"" by William Van Wyck."
9,291148,The Heads of Cerberus,https://www.isfdb.org/wiki/images/1/1f/HDSFCRBRS1952.jpg,Francis Stevens,Polaris Press,1952-00-00,$3.00,190,hc,THHDSFCRBB1952,NOVEL,"""Two bindings, no priority: (A) Cloth with leather shelf back. 10 numbered copies; (B) Full cloth. 1490 numbered copies. First edition so stated on page [8]. All copies boxed [slip-cased] but some issued without dust jacket."" - Currey
Book states that binding of the books was completed in March 1952."
