id,tags
0,"1girl, solo, blonde_hair, dress, white_dress, english_text, parody, cover, magazine_cover, fake_cover"
1,"1girl, solo, smile, blue_eyes, blonde_hair, hat, parted_lips, mole, english_text, looking_to_the_side, mole_under_eye, cover, realistic, cowboy_hat, magazine_cover, cowboy_western, fake_cover"
2,"1girl, short_hair, black_hair, 1boy, dress, holding, sitting, white_dress, english_text, parody, arms_behind_back, cover, smoke, smoking, magazine_cover, fake_cover, poster_\(medium\)"
3,"1girl, solo, long_hair, hat, english_text, lips, copyright_name, parody, cover, logo"
4,"solo, 1boy, hat, male_focus, parody, cover, realistic, fake_cover"
5,"solo, 1boy, hat, white_background, male_focus, artist_name, english_text, facial_hair, traditional_media, beard, cigarette, cowboy_hat, cowboy_western"
6,"1boy, sitting, weapon, male_focus, english_text, gun, facial_hair, parody, rifle, beard, retro_artstyle, old, old_man, arabian_clothes, turban"
7,"solo, 1boy, male_focus, uniform, english_text, military, military_uniform, scar, parody, rain, bald, poster_\(medium\)"
8,"solo, 1boy, jewelry, weapon, male_focus, dark_skin, necklace, english_text, copyright_name, parody, cover, polearm, shield, spear, realistic, bald, fake_cover"
9,"solo, holding, weapon, english_text, no_humans, card_\(medium\), tarot"
10,"blonde_hair, black_hair, hat, male_focus, multiple_boys, english_text, parody, 3boys, paper"
11,"solo, looking_at_viewer, standing, full_body, english_text, pokemon_\(creature\), no_humans, watermark, green_background"
12,"english_text, gradient, gradient_background, no_humans, star_\(sky\), electricity, space, lightning"
13,"monochrome, english_text, no_humans, cover, text_focus"
14,"solo, looking_at_viewer, 1boy, monochrome, english_text, no_humans, copyright_name, parody, blue_theme"
15,"solo, looking_at_viewer, 1boy, monochrome, english_text, no_humans, copyright_name, parody, blue_theme"
16,"solo, looking_at_viewer, 1boy, flower, male_focus, english_text, bouquet"
17,"indoors, english_text, no_humans, window, copyright_name, parody, text_focus, title, poster_\(medium\)"
18,"comic, cloud, english_text, no_humans, parody, text_focus, poster_\(medium\)"
19,"open_mouth, tail, full_body, yellow_eyes, teeth, character_name, english_text, pokemon_\(creature\), no_humans, sharp_teeth, spikes, monster, spiked_collar, multiple_heads"
20,"simple_background, english_text, no_humans, bottle, black_background, still_life"
21,"simple_background, english_text, no_humans, bottle, black_background, still_life"
22,"1girl, monochrome, multiple_boys, english_text, parody, building, silhouette, green_theme"
23,"solo, 1boy, holding, weapon, male_focus, water, english_text, facial_hair, ocean, parody, cover, beard, arrow_\(projectile\), retro_artstyle, horse, waves, 1980s_\(style\), fake_cover, box_art"
24,"1boy, hat, weapon, male_focus, boots, sky, cloud, vest, english_text, gun, parody, cover, retro_artstyle, riding, horse, cowboy_hat, 1980s_\(style\), desert, horseback_riding, cowboy_western, fake_cover, poster_\(medium\), cowboy_boots, saddle, box_art"
25,"blonde_hair, 1boy, male_focus, solo_focus, english_text, window, parody, building, retro_artstyle, poster_\(medium\), box_art"
26,"1girl, long_hair, open_mouth, blonde_hair, dress, signature, water, english_text, parody, cover, realistic, retro_artstyle, horse, waves, magazine_cover, fine_art_parody, fake_cover"
27,"1girl, multiple_boys, parody, cover, animal_print, leopard_print, fine_art_parody, fake_cover"
28,"1boy, male_focus, english_text, copyright_name, parody, cover"
29,"english_text, military, no_humans, parody, cover, monster, realistic, military_vehicle, watercraft, ship, warship, poster_\(medium\)"
30,"water, english_text, no_humans, ocean, parody, waves"
31,"comic, water, english_text, no_humans, ocean, parody, cover, waves"
32,"english_text, no_humans, copyright_name, cover, green_background, logo, abstract, splatter"
33,"english_text, no_humans, parody, riding, horse, horseback_riding, poster_\(medium\)"
34,"solo, looking_at_viewer, 1boy, flower, male_focus, english_text, bouquet"
35,"multiple_boys, water, english_text, military, ocean, parody, ground_vehicle, motor_vehicle, military_vehicle, watercraft, tank, ship, waves, box_art"
36,"monochrome, english_text, no_humans, cover, text_focus"
37,"outdoors, sky, cloud, military, copyright_name, parody, scenery, military_vehicle, watercraft, poster_\(medium\)"
38,"looking_at_viewer, blue_eyes, cloud, water, english_text, no_humans, copyright_name, parody, cover, one-eyed"
39,"1girl, dress, english_text, bird, cover, skull, retro_artstyle, skeleton, magazine_cover, fake_cover"
40,"1girl, solo, looking_at_viewer, brown_hair, dress, holding, english_text, parody, moon, cover, microphone, retro_artstyle, 1980s_\(style\), fine_art_parody, fake_cover"
