Record,Title,Cover Image Link,Author,Publisher,Date,Price,Pages,Binding,Tag,Publication Type,Note
61974,"Weird Tales, July 1926",http://www.philsp.com/data/images/w/weird_tales_192607.jpg,Farnsworth Wright,Popular Fiction Publishing Co.,1926-07-00,$0.25,148,pulp,WEIRDTJUL1926,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?62004"">Jun. 1926</a>&#8592; Jul. 1926&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?61889"">Aug. 1926</a>
<!--isfdb specific-->
Volume VIII, Number 1.
Data from a facsimile of this issue."
62084,"Weird Tales, November 1927",http://www.philsp.com/data/images/w/weird_tales_192711.jpg,Farnsworth Wright,Popular Fiction Publishing Co.,1927-11-00,$0.25,148,pulp,WEIRDTNOV1927,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?62114"">Oct. 1927</a>&#8592; Nov. 1927&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?61906"">Dec. 1927</a>
<!--isfdb specific-->
Volume X, Number 5.
Page numbers run from 577 to 720 excluding covers."
388505,"Tales of Wonder and Super Science, #14",https://www.collectorshowcase.fr/IMAGES2/tow_1941spring.jpg,Walter H. Gillings,World's Work,1941-03-00,1/-,72,pulp,TLSFWNDRNB1941,MAGAZINE,"""Spring 1941"". Data from <a href=""http://www.collectorshowcase.fr/divers_pulps_16.htm""><i>Collectors Showcase</i></a>. Page count from Tuck. ""Child of Neptune"" is attributed to just Miles J. Breuer on the cover and it's not known whether Clare Winger Harris is credited on the title page.
Page numbers from <a href=""http://www.philsp.com/homeville/SFI/t1209.htm#A25723"">FictionMagsIndex</a>."
62025,"Weird Tales, March 1930",http://www.philsp.com/data/images/w/weird_tales_193003.jpg,Farnsworth Wright,Popular Fiction Publishing Co.,1930-03-00,$0.25,148,pulp,WEIRDTMAR1930,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?61932"">Feb. 1930</a>&#8592; Mar. 1930&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?61878"">Apr. 1930</a>
<!--isfdb specific-->
Volume XV, Number 3.
Page numbers run from 289-432 excluding covers.
Canada price C$0.30."
62087,"Weird Tales, November 1930",http://www.philsp.com/data/images/w/weird_tales_193011.jpg,Farnsworth Wright,Popular Fiction Publishing Co.,1930-11-00,$0.25,148,pulp,WEIRDTNOV1930,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?62117"">Oct. 1930</a>&#8592; Nov. 1930&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?61909"">Dec. 1930</a>
<!--isfdb specific-->
Volume XVI, Number 5.
Canada price C$0.30.
Page numbers run from 577 to 720 and do not include the covers.
Data from a facsimile of this issue.
""The Cat Organ"" and ""Hau! Hau! Huguenots!"" appear under the combined title ""The Master Strikes""."
62211,"Wonder Stories, August 1931",https://www.isfdb.org/wiki/images/c/c6/WONDSTAUG1931.jpg,Hugo Gernsback,Stellar Publishing Corporation,1931-08-00,$0.25,148,pulp,WONDSTAUG1931,MAGAZINE,"<ul>
<li>Page numbers run 289-432.
<li>Contents page states publication on the 3rd of the preceding month.
<li>Library of Congress copyright record shows publication date 1931-07-01
<li>Cover illustrates ""The 35th Millennium.""
<li>Cover art is not credited; signature ""Paul"" appears on the artwork.
<li>Interior art is credited at the start of each story.
<li>Story art for ""Venus Mines, Incorporated"" on page 294 is credited to ""Marchioni""; the artwork is signed ""M Marchioni.""
<li>Story art for ""The World Within"" on page 312 is credited to ""Marchioni""; the artwork is signed ""M Marchioni.""
<li>Story art for ""The 35th Millennium"" on page 330 is credited to and signed ""Paul.""
<li>Story art for ""Twelve Hours to Live!"" on page 354 is credited to ""Marchioni""; the artwork is signed ""M Marchioni.""
<li>Story art for ""The Island of the Giants"" on page 362 is credited to and signed ""Leonard.""
<li>Story art for ""The Time Projector (Part 2 of 2)"" on page 388 is credited to and signed ""Paul."" Keller's name is given as ""D. H. Keller, M.D."" at the start of the story and on the contents page, but as ""David H. Keller, M.D."" in the caption of his drawn portrait.
<li>Drawn portraits (uncredited) of the authors appear with each story; they are unsigned except for those of Stangland, Williamson, and Keller which are signed ""B.""
<li>""What Is Your Science Knowledge?"" is a list of questions about science facts. With each is listed the story page number on which the answer can be found.
<li>""The Reader Speaks"" is a letters column.
<li>""Science Questions and Answers"" is also a letters feature, but deals more narrowly with science questions.
</ul>"
62205,"Wonder Stories, April 1931",https://www.isfdb.org/wiki/images/7/7c/WONDSTAPR1931.jpg,Hugo Gernsback,Stellar Publishing Corporation,1931-04-00,$0.25,148,pulp,WONDSTAPR1931,MAGAZINE,"Vol. 2, No. 11.
Library of Congress copyright record shows publication date 1931-03-01
Page numbers run from 1201 to 1344 excluding the covers.
The full text and images of this edition are available at <a HREF=""http://www.pulpmags.org/wonder_page.html"">The Pulp Magazines Project.</a>
Primary Verification done from scanned images."
56273,"Amazing Stories, December 1934",https://isfdb.org/wiki/images/5/54/AMAZDEC1934.jpg,"T. O'Conor Sloane, Ph.D.","Teck Publications, Inc.",1934-12-00,$0.25,148,pulp,AMAZDEC1934,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56586"">Nov. 1934</a>&#8592;Dec. 1934&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?56360"">Jan. 1935</a><br/>
<!--isfdb specific-->
Vol 9, No 8.
Library of Congress copyright record shows publication date 1934-11-09
Cover illustration untitled. Index credits all illustrations to Leo Morey."
1030761,"Amazing Stories, December 1934",https://isfdb.org/wiki/images/f/f9/MZNGSTRSDC1934.jpg,"T. O'Conor Sloane, Ph.D.","Teck Publications, Inc. (Canada)",1934-12-00,C$0.25,148,pulp,MZNGSTRSDC1934,MAGAZINE,"Vol 9, No 8.
Cover illustration untitled. Index credits all illustrations to Leo Morey."
62230,"Wonder Stories, January 1935",https://www.isfdb.org/wiki/images/d/d2/WONDSTJAN1935.jpg,Hugo Gernsback,Continental Publications,1935-01-00,$0.25,132,pulp,WONDSTJAN1935,MAGAZINE,"<ul>
<li>Page numbers run 897-1024.
<li>Contents page states publication on the 1st of the preceding month.
<li>Cover illustrates ""One-Way Tunnel.""
<li>Cover art is credited to and signed ""Paul.""
<li>Interior art is credited at the start of each story.
<li>""The Hidden Colony (Part 1 of 3)"" is translated by Fletcher Pratt. Story art on page 904 is credited to and signed ""Paul.""
<li>Story art for ""One-Way Tunnel"" on page 934 is credited to and signed ""Paul.""
<li>Story art for ""Master of the Genes"" on page 958 is credited to and signed ""Paul.""
<li>Story art for ""Cosmic Joke"" on page 970 is credited to and signed ""Paul.""
<li>Story art for ""Dawn to Dusk (Part 3 of 3)"" on page 978 is credited to and signed ""Paul.""
<li>""What Is Your Science Knowledge?"" is a list of questions about science facts. With each is listed the story page number on which the answer can be found.
<li>""The Science Fiction League"" is a monthly department that discusses news related to or of interest to the club. It includes correspondence from readers.
<li>""The Reader Speaks"" is a letters column.
<li>""Letter: Scientifictionuts"" is printed in ""The Reader Speaks,"" but it consists entirely of a poem and is entered thus.
<li>""Science Questions and Answers"" is also a letters feature, but deals more narrowly with science questions.
</ul>"
